cafe_id,hour,avg_vehicles,max_vehicles,vacancy_pct,congestion_flag
CAFE_001,2025-03-05T07:00:00,12,16,60.0,0
CAFE_001,2025-03-05T08:00:00,16,19,46.7,0
CAFE_001,2025-03-05T09:00:00,19,19,36.7,0
CAFE_001,2025-03-05T10:00:00,19,22,36.7,0
CAFE_001,2025-03-05T11:00:00,10,11,66.7,0
CAFE_001,2025-03-05T12:00:00,30,30,0.0,1
CAFE_001,2025-03-05T13:00:00,30,30,0.0,1
CAFE_001,2025-03-05T14:00:00,30,30,0.0,1
CAFE_001,2025-03-05T15:00:00,29,30,3.3,1
CAFE_001,2025-03-05T16:00:00,10,13,66.7,0
CAFE_001,2025-03-05T17:00:00,12,12,60.0,0
CAFE_001,2025-03-05T18:00:00,11,11,63.3,0
CAFE_001,2025-03-05T19:00:00,23,23,23.3,0
CAFE_001,2025-03-05T20:00:00,24,24,20.0,0
CAFE_001,2025-03-05T21:00:00,26,30,13.3,1
CAFE_001,2025-03-05T22:00:00,27,30,10.0,1
CAFE_001,2025-03-05T23:00:00,11,14,63.3,0
CAFE_001,2025-03-06T00:00:00,3,6,90.0,0
CAFE_001,2025-03-06T01:00:00,4,5,86.7,0
CAFE_001,2025-03-06T02:00:00,0,2,100.0,0
CAFE_001,2025-03-06T03:00:00,3,6,90.0,0
CAFE_001,2025-03-06T04:00:00,5,8,83.3,0
CAFE_001,2025-03-06T05:00:00,1,4,96.7,0
CAFE_001,2025-03-06T06:00:00,3,4,90.0,0
CAFE_001,2025-03-06T07:00:00,13,17,56.7,0
CAFE_001,2025-03-06T08:00:00,17,20,43.3,0
CAFE_001,2025-03-06T09:00:00,16,17,46.7,0
CAFE_001,2025-03-06T10:00:00,21,23,30.0,0
CAFE_001,2025-03-06T11:00:00,11,13,63.3,0
CAFE_001,2025-03-06T12:00:00,28,30,6.7,1
CAFE_001,2025-03-06T13:00:00,29,30,3.3,1
CAFE_001,2025-03-06T14:00:00,26,28,13.3,1
CAFE_001,2025-03-06T15:00:00,28,30,6.7,1
CAFE_001,2025-03-06T16:00:00,11,15,63.3,0
CAFE_001,2025-03-06T17:00:00,10,14,66.7,0
CAFE_001,2025-03-06T18:00:00,9,9,70.0,0
CAFE_001,2025-03-06T19:00:00,25,25,16.7,0
CAFE_001,2025-03-06T20:00:00,28,30,6.7,1
CAFE_001,2025-03-06T21:00:00,23,26,23.3,0
CAFE_001,2025-03-06T22:00:00,27,30,10.0,1
CAFE_001,2025-03-06T23:00:00,14,17,53.3,0
CAFE_001,2025-03-07T00:00:00,3,3,90.0,0
CAFE_001,2025-03-07T01:00:00,3,7,90.0,0
CAFE_001,2025-03-07T02:00:00,9,12,70.0,0
CAFE_001,2025-03-07T03:00:00,3,7,90.0,0
CAFE_001,2025-03-07T04:00:00,3,7,90.0,0
CAFE_001,2025-03-07T05:00:00,4,6,86.7,0
CAFE_001,2025-03-07T06:00:00,3,3,90.0,0
CAFE_001,2025-03-07T07:00:00,14,15,53.3,0
CAFE_001,2025-03-07T08:00:00,19,22,36.7,0
CAFE_001,2025-03-07T09:00:00,24,25,20.0,0
CAFE_001,2025-03-07T10:00:00,19,19,36.7,0
CAFE_001,2025-03-07T11:00:00,12,12,60.0,0
CAFE_001,2025-03-07T12:00:00,27,30,10.0,1
CAFE_001,2025-03-07T13:00:00,30,30,0.0,1
CAFE_001,2025-03-07T14:00:00,30,30,0.0,1
CAFE_001,2025-03-07T15:00:00,30,30,0.0,1
CAFE_001,2025-03-07T16:00:00,10,10,66.7,0
CAFE_001,2025-03-07T17:00:00,17,18,43.3,0
CAFE_001,2025-03-07T18:00:00,12,16,60.0,0
CAFE_001,2025-03-07T19:00:00,28,30,6.7,1
CAFE_001,2025-03-07T20:00:00,24,24,20.0,0
CAFE_001,2025-03-07T21:00:00,26,28,13.3,1
CAFE_001,2025-03-07T22:00:00,26,27,13.3,0
CAFE_001,2025-03-07T23:00:00,11,13,63.3,0
CAFE_001,2025-03-08T00:00:00,3,4,90.0,0
CAFE_001,2025-03-08T01:00:00,7,8,76.7,0
CAFE_001,2025-03-08T02:00:00,4,5,86.7,0
CAFE_001,2025-03-08T03:00:00,2,2,93.3,0
CAFE_001,2025-03-08T04:00:00,3,5,90.0,0
CAFE_001,2025-03-08T05:00:00,4,5,86.7,0
CAFE_001,2025-03-08T06:00:00,3,3,90.0,0
CAFE_001,2025-03-08T07:00:00,16,20,46.7,0
CAFE_001,2025-03-08T08:00:00,21,22,30.0,0
CAFE_001,2025-03-08T09:00:00,25,26,16.7,0
CAFE_001,2025-03-08T10:00:00,26,29,13.3,1
CAFE_001,2025-03-08T11:00:00,15,16,50.0,0
CAFE_001,2025-03-08T12:00:00,30,30,0.0,1
CAFE_001,2025-03-08T13:00:00,30,30,0.0,1
CAFE_001,2025-03-08T14:00:00,30,30,0.0,1
CAFE_001,2025-03-08T15:00:00,30,30,0.0,1
CAFE_001,2025-03-08T16:00:00,13,16,56.7,0
CAFE_001,2025-03-08T17:00:00,15,16,50.0,0
CAFE_001,2025-03-08T18:00:00,15,15,50.0,0
CAFE_001,2025-03-08T19:00:00,30,30,0.0,1
CAFE_001,2025-03-08T20:00:00,30,30,0.0,1
CAFE_001,2025-03-08T21:00:00,30,30,0.0,1
CAFE_001,2025-03-08T22:00:00,30,30,0.0,1
CAFE_001,2025-03-08T23:00:00,15,15,50.0,0
CAFE_001,2025-03-09T00:00:00,5,9,83.3,0
CAFE_001,2025-03-09T01:00:00,8,11,73.3,0
CAFE_001,2025-03-09T02:00:00,5,8,83.3,0
CAFE_001,2025-03-09T03:00:00,6,10,80.0,0
CAFE_001,2025-03-09T04:00:00,2,3,93.3,0
CAFE_001,2025-03-09T05:00:00,4,8,86.7,0
CAFE_001,2025-03-09T06:00:00,0,2,100.0,0
CAFE_001,2025-03-09T07:00:00,14,15,53.3,0
CAFE_001,2025-03-09T08:00:00,22,25,26.7,0
CAFE_001,2025-03-09T09:00:00,24,26,20.0,0
CAFE_001,2025-03-09T10:00:00,24,27,20.0,0
CAFE_001,2025-03-09T11:00:00,15,16,50.0,0
CAFE_001,2025-03-09T12:00:00,30,30,0.0,1
CAFE_001,2025-03-09T13:00:00,30,30,0.0,1
CAFE_001,2025-03-09T14:00:00,30,30,0.0,1
CAFE_001,2025-03-09T15:00:00,30,30,0.0,1
CAFE_001,2025-03-09T16:00:00,16,20,46.7,0
CAFE_001,2025-03-09T17:00:00,19,19,36.7,0
CAFE_001,2025-03-09T18:00:00,17,18,43.3,0
CAFE_001,2025-03-09T19:00:00,30,30,0.0,1
CAFE_001,2025-03-09T20:00:00,30,30,0.0,1
CAFE_001,2025-03-09T21:00:00,30,30,0.0,1
CAFE_001,2025-03-09T22:00:00,30,30,0.0,1
CAFE_001,2025-03-09T23:00:00,17,20,43.3,0
